battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1966,0,2.2,0,8,1,24,0.1,171,4,18,1100,1328,2641,7,15,11,1,1,0,3
1361,1,2.1,0,8,1,34,0.1,129,2,11,1156,972,1257,7,2,12,1,1,1,0
707,1,0.9,0,11,0,15,1,96,6,8,1532,1593,866,12,6,15,0,0,0,1
959,0,1.1,0,13,1,13,0.2,134,3,15,1463,650,2435,8,2,9,1,1,0,2
861,1,2.9,0,0,1,38,0.7,128,4,15,285,1890,3770,5,8,17,1,1,1,3
1010,1,2.6,1,9,1,39,0.7,109,5,3,1877,1860,1540,9,11,17,1,0,1,0
1654,0,2.8,0,3,1,42,0.3,182,2,11,183,1563,1386,8,0,15,1,1,0,1
1601,1,1.8,1,2,0,18,0.2,140,2,12,857,795,3315,14,10,5,1,0,0,2
1945,1,2.3,0,14,1,63,1,176,5,6,316,1389,3417,13,10,13,1,0,0,3
1585,1,1.5,1,10,0,51,0.4,99,6,8,4,691,385,13,4,4,0,0,0,0
1149,1,2.2,0,6,1,44,0.3,104,2,19,1843,1150,1504,18,16,4,1,1,0,1
1297,0,1.8,1,17,1,30,0.2,133,1,16,1810,1248,3675,17,6,12,1,1,1,2
952,1,2.4,0,17,1,4,0.7,134,3,12,1332,1246,3465,10,0,8,1,1,0,3
1966,1,1.3,0,12,0,15,0.2,196,1,8,1569,1186,1961,9,5,3,0,0,0,0
1945,0,0.5,0,8,0,49,0.4,170,5,0,821,1065,1221,18,12,17,0,0,1,1
1752,0,1.3,0,7,0,13,0.8,178,1,6,1269,640,2289,8,4,9,0,1,1,2
630,1,2.1,0,16,0,17,0.6,93,4,10,1579,1846,2740,16,14,2,0,1,0,3
641,1,2.5,0,2,1,32,0.4,134,7,1,1557,1708,1613,18,16,3,1,1,0,0
1347,0,1.9,0,5,0,14,0.5,137,3,14,1870,1347,1382,6,7,7,1,0,0,1
1024,1,0.6,1,17,0,4,0.2,160,4,18,1428,1664,2012,9,1,13,0,1,1,2
1527,0,1.6,1,10,0,46,0.2,188,6,16,1174,1978,3576,6,17,14,0,1,0,3
927,0,1,1,17,0,19,0.1,81,2,0,1329,1408,327,11,6,18,0,1,0,0
1416,0,1.1,0,1,0,34,0.5,118,4,6,302,951,773,11,14,11,1,0,0,1
1353,0,1.6,1,4,0,58,0.8,147,7,4,1232,965,2097,12,7,7,0,0,0,2
1263,0,1.5,0,3,0,53,0.4,133,4,18,889,1064,3366,10,15,15,0,1,1,3
1458,0,2.7,1,10,0,23,0.6,104,5,13,111,928,303,5,5,11,0,0,1,0
506,0,2,0,11,1,21,0.7,171,6,0,125,1489,1988,12,6,5,1,1,1,1
907,0,1.1,1,8,1,20,0.7,131,7,8,164,1233,3583,8,5,10,1,0,1,2
1500,0,2.4,1,16,1,10,0.6,131,3,11,1316,577,2792,5,6,4,1,0,0,3
1363,1,1.4,0,18,0,27,0.5,136,4,2,651,832,1135,8,14,13,1,1,0,0
1665,1,2.8,1,13,1,4,0.7,172,5,17,490,1166,1598,5,7,18,1,0,0,1
870,1,1.3,1,17,1,25,0.7,102,6,1,717,1874,2366,12,2,11,1,0,1,2
1638,0,2.5,0,14,0,46,0.5,108,6,2,1338,1108,3348,17,17,6,1,1,1,3
611,1,0.8,1,4,1,28,0.8,89,5,0,1243,1591,1390,15,16,18,1,0,0,0
1822,1,1.7,0,0,1,23,1,86,7,10,1779,781,2788,14,9,19,1,0,1,1
613,1,1,1,5,0,34,0.5,178,6,17,353,887,2856,11,11,11,1,1,1,2
1954,0,1,0,1,0,39,0.7,199,5,2,461,1290,2660,8,1,17,1,0,1,3
1725,1,2.7,0,4,0,11,0.4,83,3,13,1027,998,1657,12,3,10,0,0,0,0
1382,1,2.7,1,13,1,25,0.7,163,7,17,1734,1924,562,8,5,9,1,0,0,1
1167,0,0.5,1,17,1,25,0.6,82,3,6,534,1154,2583,5,12,9,1,1,0,2
1618,0,2.5,0,17,0,23,0.3,172,4,2,1302,834,3508,7,7,12,0,0,1,3
959,1,1.6,1,16,0,43,0.7,188,7,12,948,1276,989,5,10,5,1,0,0,0
1577,1,2.4,1,14,1,37,0.5,90,7,19,572,1913,718,11,17,11,1,0,0,1
1461,0,1.3,0,6,1,62,0.4,168,5,4,608,1106,1642,7,15,6,1,0,0,2
542,0,1.2,0,15,0,7,0.2,110,6,3,1465,507,2978,7,11,8,0,0,0,3
697,0,1.4,0,6,1,9,0.7,176,6,15,653,1731,1104,6,3,10,1,0,1,0
1334,0,2.2,1,16,1,62,0.5,160,3,9,1454,649,506,8,17,13,1,1,1,1
1858,1,1.8,0,7,0,22,0.6,97,1,4,1946,1629,2691,11,6,9,0,0,1,2
1784,1,2.4,0,7,0,6,0.1,187,2,5,484,1694,2578,17,9,17,1,1,0,3
866,1,2.1,0,6,1,16,0.3,163,7,15,602,1629,1746,17,11,6,1,0,0,0
911,0,1.8,1,13,0,32,0.4,90,6,14,1110,729,2127,9,17,4,0,0,1,1
1951,0,2.3,1,9,0,26,1,168,3,15,1239,1237,1495,8,1,7,1,1,1,2
815,0,2.5,0,13,0,19,0.5,114,3,2,1519,1800,2761,18,7,12,0,0,0,3
1247,0,0.6,1,11,0,18,0.7,100,2,14,534,1338,1266,15,17,12,1,0,1,0
1270,1,2.3,0,6,0,39,0.5,172,1,15,82,837,664,10,0,14,1,1,1,1
591,1,2.9,1,8,0,60,1,144,2,14,1138,1679,2482,10,13,5,0,1,1,2
1446,0,1.4,0,5,1,10,0.5,181,1,19,1174,1119,3359,7,1,2,1,1,1,3
1476,1,0.8,1,13,0,56,0.8,140,4,18,10,1548,1567,10,6,14,1,0,1,0
1150,0,2.6,0,8,0,56,0.8,87,5,0,104,898,1486,9,1,9,0,0,1,1
956,0,2.7,0,15,0,5,1,127,2,11,1399,1856,1633,15,15,2,1,1,0,2
965,1,1.4,0,14,0,11,0.3,101,7,16,501,1347,3016,13,17,11,1,1,0,3
639,1,1.7,1,15,1,55,0.6,143,1,0,1429,500,1655,10,9,11,1,1,0,0
978,0,2.7,1,3,1,52,0.3,115,7,7,464,1192,1683,16,4,2,1,1,0,1
1958,1,1.4,0,15,0,51,0.4,159,7,14,172,997,3178,11,1,4,1,1,1,2
1600,0,2.7,1,7,1,20,0.6,90,7,15,627,1415,2280,13,3,4,1,0,0,3
1747,0,0.8,0,15,0,59,0.8,130,5,6,1499,1804,1738,14,3,13,1,0,1,0
585,0,2.6,1,16,1,48,0.5,120,2,11,333,1012,2769,5,14,3,1,1,1,1
1875,1,1.3,1,12,0,46,0.4,102,6,9,168,1249,1957,5,15,5,0,1,0,2
1117,1,2.4,1,9,0,34,1,167,7,13,779,566,2858,8,7,10,0,0,0,3
1780,1,2.7,1,5,1,58,0.9,96,6,4,1335,1933,891,9,15,15,1,1,1,0
1620,0,1.4,0,8,0,35,0.5,108,3,8,921,792,1868,12,15,9,0,1,0,1
723,0,1.4,1,15,0,62,0.7,166,4,8,1487,1798,1403,18,12,12,1,0,0,2
1182,0,1.4,1,10,0,22,0.1,98,5,8,1807,1459,2355,15,9,7,1,1,1,3
554,1,2.4,1,5,0,29,0.1,158,1,4,98,1091,968,8,12,15,1,1,0,0
1868,0,1.4,0,15,0,12,0.9,186,2,9,1440,895,485,15,13,7,1,1,0,1
1775,1,1.5,1,14,0,44,0.5,197,2,19,295,1189,2922,9,9,13,0,0,0,2
1649,0,1.2,0,11,0,31,0.9,109,4,10,682,1397,2721,7,4,4,1,1,1,3
1272,0,1.5,1,12,0,16,0.4,94,2,7,1091,1740,1216,10,8,11,1,1,0,0
1328,0,2.2,1,0,1,57,0.8,140,2,11,1666,1261,2345,12,7,12,1,0,0,1
1338,0,1.9,1,17,0,50,0.4,101,5,10,1493,1019,2259,11,5,4,0,0,0,2
1326,0,1.8,1,1,1,56,0.7,114,3,1,1769,1015,3985,11,9,11,1,1,1,3
1521,0,1.4,1,8,0,55,0.4,178,1,12,1314,1543,1743,7,2,13,1,0,1,0
1710,1,1.3,1,4,1,56,1,82,7,4,999,1661,803,15,11,7,1,0,1,1
806,0,2.8,1,7,0,24,0.9,101,7,2,954,1051,1335,16,2,16,1,1,0,2
1893,1,1.6,1,9,1,35,0.2,183,1,16,769,1388,3129,17,16,5,1,0,0,3
1944,1,1.8,0,9,0,41,0.3,88,4,3,1532,1096,1547,15,16,16,1,0,0,0
1180,1,1.7,0,13,0,25,0.6,144,7,11,349,1256,2682,6,16,18,1,0,1,1
1324,1,1,0,5,1,43,0.9,88,2,6,1171,1694,2346,6,7,19,1,0,0,2
612,1,2,1,4,1,47,0.3,111,7,1,571,1623,3093,15,3,14,1,1,1,3
1186,0,3,0,5,0,31,0.5,184,6,18,981,716,1856,11,17,11,1,1,0,0
1585,1,1.9,1,1,0,9,0.9,131,1,17,1670,1590,1588,13,17,14,0,0,0,1
832,0,1.8,1,17,0,36,1,110,3,8,137,584,1968,12,14,15,1,1,1,2
1900,1,1.1,0,3,0,7,0.4,92,6,10,1440,1656,3900,9,10,15,0,0,0,3
889,0,0.6,1,5,0,40,0.2,177,1,15,489,1825,456,11,17,17,0,0,0,0
775,1,1.3,1,9,0,35,0.2,121,7,15,1676,1907,1784,17,2,5,1,0,1,1
977,1,2.6,0,13,1,43,0.3,129,1,19,307,1069,1250,9,8,6,1,0,1,2
1869,0,2,1,10,0,4,0.4,155,1,19,35,1722,3917,8,12,12,0,1,0,3
855,0,0.8,1,2,0,32,0.5,150,5,6,87,1921,856,18,12,17,1,0,1,0
1446,1,1.1,1,2,0,41,0.7,143,2,9,205,1985,530,16,5,7,1,0,0,1
557,0,1.1,0,5,0,30,0.1,93,6,18,1714,1952,2049,5,13,15,0,1,0,2
831,0,1.5,0,4,0,33,0.5,130,3,16,212,597,2454,9,11,6,0,0,1,3
1681,0,2.2,0,9,0,36,0.5,153,4,7,1860,1620,1899,5,4,17,0,0,0,0
1444,1,1.3,1,8,1,63,0.9,150,3,14,1361,973,1213,6,8,17,1,1,0,1
1693,0,1.6,1,6,1,48,0.3,177,3,8,205,648,3143,8,15,10,1,0,1,2
1715,1,1.8,1,9,0,10,0.6,126,1,10,27,587,3856,14,1,13,0,1,0,3
602,1,2.9,0,6,0,51,0.7,175,5,19,1515,806,1553,11,15,16,0,1,0,0
727,1,1.9,0,11,0,20,0.4,95,3,14,140,657,2022,6,13,9,0,0,0,1
638,0,3,0,15,1,15,0.4,164,5,5,244,1099,2097,9,7,17,1,1,1,2
990,1,2.5,0,12,1,43,0.8,112,5,18,874,1429,3957,13,15,4,1,1,1,3
1416,0,2.7,1,15,1,56,0.7,80,4,16,237,870,1041,17,4,15,1,0,0,0
1139,1,1.9,1,12,0,12,0.6,147,5,16,1453,1757,1147,18,9,11,1,0,1,1
1091,0,1.9,1,3,1,20,0.9,80,2,17,126,1636,2974,13,7,7,1,0,0,2
1913,1,1.6,1,9,1,34,0.9,155,7,19,1602,1603,3534,9,7,5,1,0,1,3
1768,0,1.2,1,14,0,7,0.9,186,1,10,549,1410,1648,18,12,12,0,1,1,0
1603,1,2.6,0,5,0,35,0.3,105,5,12,900,1875,1016,14,11,2,0,0,0,1
1030,0,2.5,1,10,0,15,0.8,186,7,19,603,746,3084,18,7,16,0,1,0,2
1668,1,1.7,0,13,1,23,0.9,114,5,9,625,624,3299,6,2,14,1,0,0,3
1019,0,0.7,0,13,1,21,0.2,146,6,0,17,1235,1277,11,15,16,1,0,1,0
1610,1,1.7,1,11,0,7,0.4,136,6,10,1103,1471,2550,12,5,3,1,1,0,1
1669,1,1.4,1,3,0,62,0.9,101,2,5,465,864,2807,5,10,17,0,1,1,2
519,1,2.9,0,4,1,29,0.8,130,5,16,1745,1866,2391,18,16,16,1,1,0,3
631,0,1.9,0,9,1,41,0.7,171,5,1,746,1786,268,15,3,16,1,0,0,0
872,0,0.7,1,1,0,25,1,137,1,13,106,745,758,9,1,12,0,0,1,1
1015,1,1.1,1,9,1,17,0.6,189,7,2,1269,1380,2578,9,9,16,1,0,1,2
1957,1,2,0,13,0,12,0.4,110,1,11,1930,1913,2521,17,3,14,1,0,1,3
1807,1,1.9,0,10,0,8,0.2,103,1,0,770,1920,1316,6,0,13,1,1,0,0
502,0,2.6,1,2,1,62,0.5,135,7,7,1730,1533,822,7,5,4,1,0,1,1
1974,0,1.5,1,9,0,19,0.2,102,3,12,1180,555,1289,10,6,13,0,0,1,2
656,0,3,1,6,1,24,0.8,161,6,17,1572,1734,3918,11,1,2,1,1,1,3
1587,0,2,1,7,1,54,0.2,160,5,9,1275,940,1332,13,13,15,1,1,1,0
803,1,2.7,0,2,1,47,0.7,190,1,1,636,1661,479,5,6,6,1,1,1,1
908,0,2.3,1,3,0,32,0.5,139,7,16,1695,1791,2086,7,11,7,0,1,1,2
893,1,2.2,0,11,1,54,0.7,104,6,17,923,1232,2879,12,3,15,1,0,1,3
655,1,1,0,3,0,60,0.8,158,1,7,1675,909,1221,5,0,18,1,0,1,0
891,1,1.1,0,2,0,29,0.7,105,5,0,37,1661,1064,18,1,10,1,0,0,1
1590,1,1.3,0,15,0,57,0.7,137,7,13,641,1215,1239,5,1,11,1,1,0,2
839,0,1.7,0,0,1,50,0.2,106,2,12,1202,1624,3409,11,14,8,1,1,1,3
781,0,2.2,0,16,0,56,0.2,199,3,19,393,1409,620,7,9,18,0,0,0,0
1737,0,2.9,0,0,1,53,0.9,156,5,0,1735,500,590,18,13,7,1,1,0,1
1052,1,2.8,1,13,1,17,0.8,136,6,16,1679,1109,2145,17,10,10,1,0,1,2
846,1,2.3,1,1,0,60,0.3,98,5,15,398,1631,3528,9,6,11,0,0,0,3
781,1,1.6,0,3,1,14,0.7,85,1,16,560,588,629,12,13,2,1,1,0,0
911,1,1.1,1,14,1,27,0.3,150,2,6,317,512,1098,10,17,9,1,1,1,1
985,0,1.4,0,1,1,63,0.9,89,3,14,382,1158,3249,13,2,15,1,1,1,2
1250,1,2.9,0,11,1,17,0.6,101,3,19,107,1523,2888,18,13,5,1,0,1,3
1202,1,1.3,1,15,0,56,0.5,123,4,19,1854,912,1871,18,7,11,0,1,1,0
916,0,2.3,0,10,1,54,0.6,168,5,18,1332,676,958,13,6,3,1,1,0,1
661,1,0.7,1,14,1,5,0.5,149,3,1,862,1527,2515,16,7,2,1,0,1,2
1968,1,1,1,9,1,21,0.1,94,1,5,1702,1433,3126,5,10,8,1,0,0,3
867,1,1.2,1,4,1,62,0.8,142,2,3,466,1613,960,12,6,18,1,1,1,0
1648,0,2.2,1,6,0,14,0.4,158,6,9,1796,1360,1823,15,0,4,0,1,1,1
844,0,1.9,1,17,1,11,0.1,104,7,17,1201,1655,3502,18,13,11,1,0,0,2
1870,1,1.7,1,7,1,40,0.5,109,1,6,1869,1159,3108,15,14,9,1,1,1,3
1560,1,1.3,1,3,1,17,0.7,98,7,5,256,849,1891,8,14,6,1,1,0,0
830,0,0.9,0,6,0,52,1,162,6,14,1537,1161,1474,16,10,15,0,0,1,1
901,0,0.8,0,3,1,17,0.5,89,4,6,1958,906,1788,13,0,9,1,1,0,2
994,1,0.6,1,6,1,14,0.9,117,7,16,509,932,2669,17,15,14,1,1,0,3
1024,0,0.7,0,11,1,34,0.4,191,3,14,754,759,650,11,16,19,1,0,1,0
1715,1,2.5,0,1,1,57,0.5,153,7,9,340,1856,2355,8,6,13,1,1,1,1
1265,1,0.6,1,17,0,49,0.7,104,1,11,624,1220,3317,9,16,19,1,1,0,2
747,0,2,1,0,1,61,0.4,127,1,13,291,1795,3723,5,1,15,1,1,0,3
727,0,1.3,1,15,1,8,0.4,166,3,13,1823,1211,341,10,17,11,1,0,0,0
1145,0,2.6,0,14,1,19,0.8,126,3,2,1521,1747,1006,6,12,9,1,0,1,1
991,1,0.5,1,2,1,30,1,164,6,15,1553,1279,3219,13,3,14,1,1,0,2
1611,1,2.2,1,14,0,7,0.7,106,2,0,859,1767,3042,8,12,12,1,0,0,3
1049,1,2.2,1,0,1,14,0.9,175,5,13,204,1348,942,12,4,14,1,0,0,0
1163,1,2.4,1,4,0,12,0.4,196,3,11,187,1956,498,16,6,4,1,1,1,1
1880,0,2.3,0,17,0,41,0.3,199,1,17,1515,1655,2106,17,5,3,1,0,1,2
1161,0,1.5,0,17,0,46,0.8,83,2,18,10,976,3126,13,16,19,0,0,0,3
1044,1,0.9,1,15,0,47,0.9,181,1,3,1484,989,1460,11,13,7,1,0,1,0
849,0,1.9,1,15,0,53,0.3,156,5,8,737,991,2155,12,13,13,1,1,1,1
1911,1,1.8,1,4,0,39,0.2,94,2,12,565,1515,1351,14,15,11,1,1,0,2
1929,1,1.6,1,7,1,53,0.5,156,2,15,1796,1841,3419,11,4,13,1,1,0,3
610,1,2.5,1,15,0,7,0.4,147,3,2,567,1221,740,18,5,13,0,1,1,0
1477,1,1.7,0,2,1,44,0.3,150,3,0,930,1634,2446,18,17,12,1,1,0,1
1229,1,1.6,1,4,0,46,0.2,146,1,17,1418,1311,3222,13,7,4,1,0,0,2
1937,1,2.9,0,1,0,45,0.6,192,3,19,1567,557,3504,17,4,9,1,0,1,3
1859,0,1.1,1,2,1,23,0.9,128,3,8,1246,875,1959,14,11,13,1,0,1,0
1625,0,2.8,1,14,0,2,0.6,159,5,5,1816,1416,2098,5,3,7,0,0,1,1
761,0,2.3,0,12,0,61,0.2,138,2,2,133,1881,2555,14,9,5,1,0,1,2
971,1,0.6,1,8,0,35,0.9,85,6,12,653,1407,3157,12,4,4,1,1,0,3
883,1,1.7,0,10,0,56,0.9,199,6,0,1381,1856,1227,12,12,11,1,0,0,0
869,0,2.2,0,11,1,18,0.2,115,3,12,1198,1266,603,11,13,5,1,1,1,1
797,0,1.9,1,4,0,11,0.4,181,2,4,679,1957,2944,11,11,5,0,0,1,2
1017,1,1.9,0,7,0,3,1,151,4,16,968,567,2267,15,4,6,1,0,1,3
1258,1,1.5,0,3,0,52,0.7,111,1,17,212,643,1300,16,10,4,1,1,1,0
973,1,1.7,0,10,0,8,0.4,81,1,11,857,675,2488,15,0,17,1,0,1,1
1162,1,1.4,0,12,1,56,0.9,84,1,17,1752,696,3364,12,9,11,1,0,0,2
1661,1,1.1,1,15,1,49,0.1,150,1,11,1761,1223,3654,12,1,13,1,1,1,3
528,1,2.2,1,4,1,32,0.6,182,6,15,1515,1055,1203,12,9,19,1,1,0,0
1269,0,0.5,0,3,0,40,0.6,121,5,16,1608,1455,2037,5,2,19,0,0,1,1
1349,1,2,0,13,1,31,1,127,1,5,769,1911,1779,11,8,15,1,0,1,2
1941,0,1,1,0,0,14,0.1,121,7,12,697,1943,3658,9,9,16,1,1,0,3
1123,0,2.3,1,2,1,34,0.3,142,3,13,1151,1985,1680,18,15,6,1,0,1,0
689,1,2.3,0,11,1,21,0.8,144,1,15,101,674,1700,6,11,17,1,0,0,1
969,1,1.3,0,16,0,43,0.2,156,6,12,1803,1913,3282,17,8,14,0,1,1,2
1559,1,2.6,1,5,1,57,0.9,92,4,12,1191,1713,3326,10,10,12,1,0,0,3
683,0,2,0,10,0,5,0.7,110,4,17,1032,1893,712,5,14,8,1,0,1,0
686,0,0.7,0,1,0,29,0.9,97,1,8,1726,1764,1438,12,12,14,1,1,0,1
654,0,2.6,0,17,0,36,0.4,182,4,18,420,1213,2244,14,7,13,0,0,0,2
1929,1,2.4,1,16,0,47,0.2,172,6,7,1272,607,2710,11,0,7,1,1,0,3
1120,0,1.9,0,9,0,6,0.3,151,2,19,315,1724,686,11,1,9,0,1,1,0
1228,1,1.5,0,9,0,5,0.3,90,5,13,1387,1206,2359,13,15,7,1,0,0,1
1539,0,2.3,1,9,1,49,0.5,128,1,10,602,1475,1798,10,3,17,1,1,1,2
1339,0,3,0,13,0,6,0.2,108,2,14,156,1714,2768,10,15,13,1,1,0,3
779,1,0.7,0,1,1,43,0.8,180,2,19,671,640,1562,14,7,6,1,0,0,0
1219,1,0.8,0,13,0,41,0.7,132,7,18,1625,908,792,11,10,5,1,1,1,1
1427,1,1.3,0,9,0,8,0.9,154,4,0,1815,842,1815,14,9,17,1,1,0,2
1451,0,0.7,0,3,1,30,0.3,104,7,18,1545,1133,2762,5,15,14,1,0,1,3
1635,0,1.9,0,5,0,9,0.3,134,3,12,713,951,1958,15,4,19,1,0,0,0
667,1,2.4,0,10,1,57,0.4,194,3,6,294,1391,2605,18,1,5,1,0,0,1
981,1,1.6,0,9,1,13,0.8,124,7,18,1036,1088,1315,18,7,6,1,1,0,2
1819,0,0.7,0,14,1,25,0.3,177,7,15,1937,846,3953,15,8,13,1,0,0,3
1736,0,2.9,1,2,1,54,1,103,7,13,71,1530,1917,13,2,2,1,1,0,0
1698,0,1.1,1,11,1,26,0.7,121,7,0,1077,1010,1248,9,9,14,1,0,1,1
1243,1,2.4,1,4,1,14,1,186,2,8,733,904,3266,12,10,8,1,0,1,2
624,1,0.6,0,2,1,37,0.6,149,3,17,1109,1847,3965,5,7,10,1,0,0,3
595,1,2.9,1,8,1,31,0.3,175,3,15,1073,1293,1858,12,2,19,1,0,1,0
632,1,1.1,0,8,1,56,0.4,148,3,13,231,1654,2156,10,3,16,1,1,1,1
1235,0,2.4,0,15,0,27,0.7,135,1,0,1814,1192,2510,17,6,11,0,1,0,2
1187,0,1.1,0,3,1,33,0.7,165,1,4,1714,1836,3595,8,13,14,1,0,0,3
871,0,0.7,0,8,1,28,0.2,129,6,11,1444,1371,595,18,7,10,1,1,1,0
936,1,2.3,0,6,0,17,0.4,155,4,17,1400,970,2295,10,9,15,1,1,1,1
620,0,2.8,1,10,0,49,0.5,143,3,13,161,1880,3201,12,7,16,1,1,1,2
1667,0,2.9,0,1,0,12,0.2,85,4,3,756,787,2264,12,9,7,0,1,0,3
1209,0,1.7,0,18,1,14,0.2,144,1,5,1008,1184,1760,7,9,9,1,0,0,0
1367,0,2,1,0,0,18,0.4,187,2,12,1896,1375,839,9,1,6,0,1,0,1
1018,1,0.6,1,0,1,55,0.9,126,2,18,1401,1483,1565,12,5,15,1,1,1,2
832,1,0.8,0,1,0,21,0.1,118,3,1,13,621,2934,8,11,16,0,0,1,3
1194,0,1.3,1,9,1,57,0.8,83,3,16,581,992,600,10,0,2,1,0,0,0
622,1,0.6,0,17,0,23,0.3,174,3,8,812,1974,2020,7,6,16,1,0,1,1
813,0,1.9,1,4,0,45,0.4,157,1,8,1736,866,1928,12,11,17,1,0,1,2
730,0,2.8,1,11,0,3,0.3,86,2,18,1466,1180,3887,6,15,4,0,0,0,3
838,1,2.8,0,13,1,14,0.6,189,7,19,1011,1831,1633,18,16,7,1,1,0,0
682,1,0.8,1,3,1,60,0.4,84,5,19,1048,1948,2464,14,5,8,1,0,1,1
767,0,1.6,0,6,1,36,0.8,108,5,16,557,539,3879,16,9,5,1,1,0,2
1698,1,1.1,0,15,1,44,0.7,141,3,0,302,1816,2468,11,10,12,1,0,1,3
1090,1,2.7,1,12,1,56,0.3,94,5,9,571,1003,461,16,9,9,1,1,1,0
988,0,2.5,0,7,1,55,0.6,128,6,6,857,952,1621,6,5,9,1,1,0,1
1974,0,1.3,0,5,1,31,0.3,142,6,9,642,1630,3074,16,13,5,1,0,1,2
635,1,0.7,0,10,1,46,0.4,147,4,14,1693,1987,3453,9,0,14,1,1,1,3
1853,0,1.2,1,16,0,55,0.5,190,2,1,1263,1715,1499,7,6,11,1,1,1,0
950,0,2.6,0,10,0,41,0.3,83,7,4,877,1923,620,5,13,10,1,0,0,1
761,0,2.9,1,17,0,24,0.4,117,3,1,1256,972,1199,9,5,11,0,0,1,2
1165,0,0.5,1,0,0,52,0.5,180,2,3,56,1222,3975,12,14,4,1,0,1,3
869,0,2.1,0,8,1,11,0.4,182,6,19,1168,1621,437,13,17,15,1,0,1,0
1442,1,1.1,1,9,1,4,0.4,134,1,17,560,1850,2560,9,2,9,1,0,1,1
539,1,3,0,1,0,26,1,155,4,19,1649,761,1592,9,16,14,1,1,0,2
1915,1,2.5,1,9,1,10,0.4,115,2,2,34,1782,3742,17,0,3,1,0,0,3
1608,1,0.8,0,1,0,24,0.2,149,6,13,923,1039,401,9,0,8,1,1,1,0
1278,0,2.2,0,6,0,43,1,174,6,11,1612,783,1178,18,3,2,1,1,1,1
1260,0,2.2,0,10,1,36,0.1,138,3,2,525,544,3675,10,13,8,1,1,0,2
1421,0,2.2,0,0,1,21,0.7,169,4,9,980,876,2960,17,0,11,1,1,1,3
1624,0,1.6,0,1,0,29,0.1,135,5,0,697,1608,303,15,17,6,0,1,1,0
1246,0,1.5,0,15,1,35,0.4,122,7,1,1057,639,2654,12,0,11,1,0,0,1
1487,0,2.5,1,6,1,34,0.4,106,4,14,736,794,1411,14,2,9,1,0,0,2
840,1,0.9,1,17,1,43,0.5,195,4,4,1772,699,3588,9,14,17,1,0,1,3
1439,0,2.9,1,14,0,57,0.7,160,5,5,1067,1645,690,12,17,15,1,1,1,0
1922,0,2.6,1,5,0,38,0.5,162,1,17,1898,796,677,9,14,19,0,0,1,1
1700,1,2.2,1,5,1,53,0.4,91,2,15,77,1335,1733,16,9,15,1,0,1,2
1455,0,2.3,1,5,1,47,0.7,81,7,8,44,1560,3661,7,12,17,1,0,0,3
1481,1,0.8,0,0,0,63,0.9,107,6,1,284,681,1631,15,6,14,0,0,0,0
1573,1,3,1,5,1,8,0.2,171,7,15,171,1637,1834,5,1,9,1,1,0,1
1099,1,2.7,1,14,0,29,0.5,106,1,0,1640,1345,2021,15,14,14,0,1,1,2
1442,0,1.4,0,15,0,6,0.5,188,7,18,997,1815,3239,18,7,4,0,0,0,3
736,0,2.9,0,14,0,25,0.4,179,4,18,455,1818,810,15,13,14,1,0,1,0
1480,1,2.9,1,17,0,38,0.1,188,3,18,1151,541,564,10,12,15,0,0,1,1
1922,0,2.9,0,2,0,17,0.4,145,1,4,456,1413,2020,9,7,16,0,0,1,2
1692,0,1.9,0,14,0,59,1,143,4,15,505,571,2339,12,0,14,0,0,1,3
1498,1,2,1,7,1,16,0.8,110,2,7,476,631,1481,15,2,4,1,1,0,0
918,1,1.3,0,13,1,15,0.9,91,1,2,175,612,2426,17,5,6,1,0,0,1
1859,1,1.7,1,13,0,46,0.2,94,3,7,1539,1988,2789,9,10,12,1,0,1,2
955,1,1.1,1,6,0,3,0.7,100,6,8,1436,938,3847,5,9,7,0,0,0,3
1459,1,1.8,1,11,1,57,1,155,6,2,630,1372,927,10,3,3,1,0,0,0
1576,1,0.7,1,16,1,5,0.3,91,1,8,525,1730,2430,14,4,15,1,0,1,1
1531,1,1,1,16,0,19,0.4,94,5,3,1200,1001,3647,16,0,12,0,0,0,2
1171,1,2.2,0,14,1,26,0.6,173,5,6,28,1102,2919,11,13,8,1,0,0,3
1661,1,2.5,0,11,1,43,0.4,167,1,5,481,1008,1846,7,12,9,1,1,0,0
1775,1,1.9,1,15,0,58,0.7,125,2,17,795,1349,963,17,6,12,0,1,0,1
911,1,1.7,1,2,1,11,0.2,108,2,6,1842,597,2458,12,13,3,1,0,1,2
1033,0,1.6,0,0,1,28,0.6,150,4,7,1101,1985,2533,13,13,14,1,1,1,3
1146,1,2.6,1,6,0,57,1,168,5,3,711,566,945,5,17,9,0,1,1,0
1000,1,2.8,1,2,0,4,0.8,178,3,13,1549,871,1987,14,2,19,1,1,0,1
1655,0,1.8,0,17,1,53,0.3,90,4,9,682,1001,3239,10,5,12,1,1,1,2
808,0,0.5,0,7,1,11,0.7,104,1,6,1528,742,2524,7,6,16,1,0,0,3
565,0,2.1,1,2,1,18,0.2,179,7,15,1608,1590,1143,12,17,4,1,1,0,0
644,1,1.8,1,7,1,51,0.2,119,3,8,837,699,2315,14,7,3,1,1,0,1
